epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,705.82,0.82711,0.39999,0.97529,0.98176,0.98864,0.99382,0.88387,0.55798,0.38359,0.89597,0.000581,0.000581,0.000581
45,721.794,0.82033,0.39705,0.97365,0.97204,0.98767,0.99227,0.90358,0.51287,0.36495,0.90565,0.000548,0.000548,0.000548
46,737.609,0.82883,0.39528,0.97482,0.98166,0.98295,0.99316,0.88912,0.58002,0.40898,0.92345,0.000515,0.000515,0.000515
47,753.57,0.80119,0.39411,0.97334,0.67008,0.98295,0.678,0.61508,0.52507,0.66545,0.87623,0.000482,0.000482,0.000482
48,769.491,0.79822,0.39248,0.96531,0.98558,0.98295,0.99328,0.89605,0.54024,0.39928,0.88609,0.000449,0.000449,0.000449
49,785.509,0.79774,0.38557,0.95893,0.99432,0.99402,0.99386,0.89667,0.50584,0.38244,0.86181,0.000416,0.000416,0.000416
50,801.458,0.79089,0.37934,0.96132,0.97869,0.98864,0.99411,0.90569,0.51985,0.3922,0.86068,0.000383,0.000383,0.000383
51,840.104,0.76461,0.34631,0.96662,0.99422,0.97718,0.99406,0.90871,0.55289,0.37973,0.87499,0.00035,0.00035,0.00035
52,855.335,0.74383,0.33471,0.96007,0.98694,0.98295,0.9939,0.90486,0.53005,0.38853,0.88574,0.000317,0.000317,0.000317
53,870.824,0.7362,0.33027,0.95786,0.98013,0.98295,0.99409,0.91145,0.48661,0.37702,0.85679,0.000284,0.000284,0.000284
54,886.379,0.73053,0.33379,0.9506,0.97748,0.98654,0.99393,0.90325,0.49389,0.35084,0.86024,0.000251,0.000251,0.000251
55,902.182,0.71528,0.32586,0.94464,0.99102,0.99432,0.99455,0.92138,0.4964,0.37796,0.85489,0.000218,0.000218,0.000218
56,917.826,0.69746,0.31839,0.93826,0.98948,0.98864,0.99432,0.91874,0.50804,0.35165,0.8553,0.000185,0.000185,0.000185
57,933.474,0.6954,0.31524,0.93413,0.9871,0.99432,0.99483,0.92391,0.49711,0.34639,0.8572,0.000152,0.000152,0.000152
58,949.242,0.68179,0.30863,0.93573,0.99431,0.99351,0.99466,0.92498,0.51066,0.35941,0.87025,0.000119,0.000119,0.000119
59,965.044,0.6653,0.3013,0.92494,0.99431,0.99304,0.9946,0.91722,0.51739,0.36171,0.87692,8.6e-05,8.6e-05,8.6e-05
60,980.792,0.67844,0.30673,0.93288,0.99132,0.99432,0.9946,0.92541,0.49942,0.35553,0.86733,5.3e-05,5.3e-05,5.3e-05
